ID,title,year,artist,writer,sentence
1,Black Mamba,2020,aespa,유영진,에스파는 나야 둘이 될 수 없어
2,Girls,2022,aespa,유영진,일어나라 그대여 더 치명적인 전쟁 속에
3,Thirsty,2023,aespa,김보은(Jam factory),난 또 너를 두드리고 있어 반짝이는 수면 위를 매일
4,200%,2014,AKMU(악뮤),이찬혁,정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해
5,오랜 날 오랜 밤,2017,AKMU(악뮤),이찬혁,별 하나 있고 너 하나 있는 그곳이 내 오랜 밤이었어
6,달,2019,AKMU(악뮤),이찬혁,눈물이 고이네 슬퍼서 달이 너무 슬퍼서
7,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",2019,AKMU(악뮤),이찬혁,어떻게 이별까지 사랑하겠어 널 사랑하는 거지 
8,작별 인사,2019,AKMU(악뮤),이찬혁,떠날 때 발등에 개미가 올랐길래 걸음 멈추고 나누었어요 작별 인사를
9,HAPPENING,2020,AKMU(악뮤),이찬혁,한 번의 눈빛으로 사랑하기엔 우린 너무 여려
10,전쟁터 (with 이선희),2021,AKMU(악뮤),이찬혁,당신은 어떤 것을 그토록 사랑하길래 몇 번을 살아났나요
11,Love Lee,2023,AKMU(악뮤),이찬혁,내가 준 목걸이를 잃어버려도 한 번 더 같은 것 사준 걸 다시 또 잃어도 좋아
12,후라이의 꿈,2023,AKMU(악뮤),이찬혁,난 차라리 흘러갈래 모두 높은 곳을 우러러볼 때
13,STAY,2016,BLACKPINK,TEDDY,널 닮은 듯한 슬픈 멜로디 이렇게 날 울리는데
14,불장난,2016,BLACKPINK,TEDDY,우리 엄만 매일 내게 말했어 언제나 남자 조심하라고
15,붐바야,2016,BLACKPINK,"TEDDY, Rebecca Johnson",굳이 애써 노력 안 해도 모든 남자들은 코피가 팡팡팡
16,마지막처럼,2017,BLACKPINK,"TEDDY, 브라더수, CHOICE37",날 너에게 던지면 너는 날 꼭 잡아줘 세상은 우릴 꺾지 못할 테니까
17,Forever Young,2018,BLACKPINK,TEDDY,너의 눈에 비친 나의 모습이 늘 처음 만난 그 날만 같길
18,뚜두뚜두 (DDU-DU DDU-DU),2018,BLACKPINK,TEDDY,착한 얼굴에 그렇지 못한 태도
19,Don't Know What To Do,2019,BLACKPINK,TEDDY,사람은 변해 왜 나만 이래 오늘처럼 예쁜 날에
20,Lovesick Girls,2020,BLACKPINK,"TEDDY, LØREN, 지수 (JISOO), 제니 (JENNIE), DANNY CHUNG",아마 다 잠깐 일지도 몰라 우린 무얼 찾아서 헤매는 걸까
21,You Never Know,2020,BLACKPINK,"LØREN, Bekuh Boom",애써서 활짝 웃었던 날에 밤은 왜 더 어두울까
22,Yeah Yeah Yeah,2022,BLACKPINK,"VVN, KUSH, 지수 (JISOO), 로제 (ROSÉ)",넌 왜 나타나서 뭔데 자꾸 생각나
23,I Loved You,2017,DAY6 (데이식스),Young K (DAY6),미워하고 싶어도 하지 못할 너라서 더 미운 거야
24,Beautiful Feeling,2018,DAY6 (데이식스),"Young K (DAY6), HILO (Isaac Han)",사랑이란 단어론 충분하지가 않아 이 아름다운 느낌
25,행복했던 날들이었다,2018,DAY6 (데이식스),Young K (DAY6),아주 가끔은 그리워할 거야 널 사실 가끔은 아니고 자주겠지
26,마치 흘러가는 바람처럼,2019,DAY6 (데이식스),"Young K (DAY6), 원필 (DAY6)",마치 흘러가는 바람처럼 넌 영원히 잡으려 해도 잡히지가 않아
27,한 페이지가 될 수 있게,2019,DAY6 (데이식스),Young K (DAY6),아름다운 청춘의 한 장 함께 써내려 가자 너와의 추억들로 가득 채울래
28,Zombie,2020,DAY6 (데이식스),"Young K (DAY6), 원필 (DAY6)",오늘도 똑같이 흘러가 나만 이렇게 힘들까
29,HAPPY,2024,DAY6 (데이식스),Young K(DAY6),매일 웃고 싶어요 걱정 없고 싶어요 아무나 좀 답을 알려주세요
30,ELEVEN,2021,IVE(아이브),"서지음, Peter Rycroft, Lauren Aquilina, Ryan S.Jhun",난 몰랐어 내 맘이 이리 다채로운지
31,After LIKE,2022,IVE(아이브),서지음,내 장점이 뭔지 알아? 바로 솔직한 거야
32,LOVE DIVE,2022,IVE(아이브),서지음,아름다운 까만 눈빛 더 빠져 깊이 넌 내게로 난 네게로 숨 참고 LOVE DIVE
33,My Satisfaction,2022,IVE(아이브),이스란,너의 두 눈 속에 비친 내게 만족해
34,ROYAL,2022,IVE(아이브),"이스란, Rick Bridges",내 걸음걸이마저도 당당한 그게 나니까
35,Either Way,2023,IVE(아이브),선우정아,누가 맞고 틀린 게 아닌 걸 모두 다르게 사랑하듯
36,I AM,2023,IVE(아이브),김이나,차라리 날아올라 그럼 네가 지나가는 대로 길이거든
37,Kistsch,2023,IVE(아이브),"이스란, 황현(MonoTree)",난 절대 끌리지 않는 것에 끌려가지 않아
38,Off The Record,2023,IVE(아이브),서지음,이 밤이 좀 더 깊어지면 뭔가 더 솔직해도 될 것 같은 기분이 들어
